,word,book_count,book_frequency,show_count,show_frequency
337,running,14.0,0.0005205428518311953,5.0,0.00042643923240938164
338,ebook,14.0,0.0005205428518311953,,
339,trouble,14.0,0.0005205428518311953,2.0,0.00017057569296375266
340,close,14.0,0.0005205428518311953,3.0,0.000255863539445629
341,present,14.0,0.0005205428518311953,5.0,0.00042643923240938164
342,returned,14.0,0.0005205428518311953,,
343,candle,14.0,0.0005205428518311953,,
344,dead,14.0,0.0005205428518311953,4.0,0.0003411513859275053
345,evidence,14.0,0.0005205428518311953,3.0,0.000255863539445629
346,object,14.0,0.0005205428518311953,,
347,distance,14.0,0.0005205428518311953,15.0,0.001279317697228145
348,master,14.0,0.0005205428518311953,,
349,stone,14.0,0.0005205428518311953,3.0,0.000255863539445629
350,cases,14.0,0.0005205428518311953,,
351,seem,14.0,0.0005205428518311953,3.0,0.000255863539445629
352,public,14.0,0.0005205428518311953,,
353,strong,14.0,0.0005205428518311953,1.0,8.528784648187633e-05
354,information,14.0,0.0005205428518311953,5.0,0.00042643923240938164
355,question,14.0,0.0005205428518311953,5.0,0.00042643923240938164
356,drive,14.0,0.0005205428518311953,1.0,8.528784648187633e-05
357,large,14.0,0.0005205428518311953,20.0,0.0017057569296375266
358,lived,14.0,0.0005205428518311953,,
359,broken,14.0,0.0005205428518311953,,
360,tor,14.0,0.0005205428518311953,,
361,unless,14.0,0.0005205428518311953,2.0,0.00017057569296375266
362,nature,14.0,0.0005205428518311953,,
363,none,14.0,0.0005205428518311953,3.0,0.000255863539445629
364,suppose,14.0,0.0005205428518311953,3.0,0.000255863539445629
365,save,14.0,0.0005205428518311953,,
366,suddenly,14.0,0.0005205428518311953,6.0,0.000511727078891258
367,sight,14.0,0.0005205428518311953,3.0,0.000255863539445629
368,waited,14.0,0.0005205428518311953,,
369,heavy,13.0,0.00048336121955753857,1.0,8.528784648187633e-05
370,literary,13.0,0.00048336121955753857,,
371,fog,13.0,0.00048336121955753857,4.0,0.0003411513859275053
372,person,13.0,0.00048336121955753857,,
373,soon,13.0,0.00048336121955753857,2.0,0.00017057569296375266
374,men,13.0,0.00048336121955753857,2.0,0.00017057569296375266
375,speak,13.0,0.00048336121955753857,3.0,0.000255863539445629
376,almost,13.0,0.00048336121955753857,14.0,0.0011940298507462687
377,copy,13.0,0.00048336121955753857,2.0,0.00017057569296375266
378,laws,13.0,0.00048336121955753857,,
379,surprised,13.0,0.00048336121955753857,1.0,8.528784648187633e-05
380,butler,13.0,0.00048336121955753857,,
381,clock,13.0,0.00048336121955753857,,
382,explanation,13.0,0.00048336121955753857,2.0,0.00017057569296375266
383,meet,13.0,0.00048336121955753857,,
384,heir,13.0,0.00048336121955753857,,
385,hours,13.0,0.00048336121955753857,2.0,0.00017057569296375266
386,short,13.0,0.00048336121955753857,4.0,0.0003411513859275053
387,send,13.0,0.00048336121955753857,1.0,8.528784648187633e-05
388,sent,13.0,0.00048336121955753857,3.0,0.000255863539445629
389,cut,13.0,0.00048336121955753857,,
390,devonshire,13.0,0.00048336121955753857,,
391,curious,13.0,0.00048336121955753857,1.0,8.528784648187633e-05
392,law,13.0,0.00048336121955753857,1.0,8.528784648187633e-05
393,please,13.0,0.00048336121955753857,14.0,0.0011940298507462687
394,line,13.0,0.00048336121955753857,4.0,0.0003411513859275053
395,hope,13.0,0.00048336121955753857,3.0,0.000255863539445629
396,five,13.0,0.00048336121955753857,7.0,0.0005970149253731343
397,power,13.0,0.00048336121955753857,,
398,archive,13.0,0.00048336121955753857,,
399,trademark,13.0,0.00048336121955753857,,
400,interesting,13.0,0.00048336121955753857,1.0,8.528784648187633e-05
401,straight,13.0,0.00048336121955753857,6.0,0.000511727078891258
402,cross,13.0,0.00048336121955753857,2.0,0.00017057569296375266
403,beard,13.0,0.00048336121955753857,,
404,tonight,12.0,0.0004461795872838818,,
405,escaped,12.0,0.0004461795872838818,2.0,0.00017057569296375266
406,following,12.0,0.0004461795872838818,7.0,0.0005970149253731343
407,assure,12.0,0.0004461795872838818,,
408,stared,12.0,0.0004461795872838818,,
409,station,12.0,0.0004461795872838818,1.0,8.528784648187633e-05
410,beyond,12.0,0.0004461795872838818,1.0,8.528784648187633e-05
411,evidently,12.0,0.0004461795872838818,1.0,8.528784648187633e-05
412,occurred,12.0,0.0004461795872838818,1.0,8.528784648187633e-05
413,earth,12.0,0.0004461795872838818,2.0,0.00017057569296375266
414,selden,12.0,0.0004461795872838818,1.0,8.528784648187633e-05
415,fact,12.0,0.0004461795872838818,2.0,0.00017057569296375266
416,lonely,12.0,0.0004461795872838818,,
417,gate,12.0,0.0004461795872838818,4.0,0.0003411513859275053
418,england,12.0,0.0004461795872838818,,
419,open,12.0,0.0004461795872838818,18.0,0.001535181236673774
420,yew,12.0,0.0004461795872838818,,
421,problem,12.0,0.0004461795872838818,3.0,0.000255863539445629
422,became,12.0,0.0004461795872838818,,
423,broad,12.0,0.0004461795872838818,,
424,date,12.0,0.0004461795872838818,1.0,8.528784648187633e-05
425,connection,12.0,0.0004461795872838818,1.0,8.528784648187633e-05
426,minutes,12.0,0.0004461795872838818,3.0,0.000255863539445629
427,father,12.0,0.0004461795872838818,13.0,0.0011087420042643922
428,mine,12.0,0.0004461795872838818,4.0,0.0003411513859275053
429,message,12.0,0.0004461795872838818,14.0,0.0011940298507462687
430,broke,12.0,0.0004461795872838818,,
431,nerves,12.0,0.0004461795872838818,,
432,thin,12.0,0.0004461795872838818,,
433,secret,12.0,0.0004461795872838818,7.0,0.0005970149253731343
434,today,12.0,0.0004461795872838818,1.0,8.528784648187633e-05
435,idea,12.0,0.0004461795872838818,6.0,0.000511727078891258
436,silent,12.0,0.0004461795872838818,5.0,0.00042643923240938164
437,fell,12.0,0.0004461795872838818,,
438,twice,12.0,0.0004461795872838818,2.0,0.00017057569296375266
439,charge,12.0,0.0004461795872838818,1.0,8.528784648187633e-05
440,stranger,12.0,0.0004461795872838818,,
441,spoke,12.0,0.0004461795872838818,,
442,thank,12.0,0.0004461795872838818,10.0,0.0008528784648187633
443,boots,12.0,0.0004461795872838818,,
444,complete,12.0,0.0004461795872838818,1.0,8.528784648187633e-05
445,received,12.0,0.0004461795872838818,,
446,rocks,12.0,0.0004461795872838818,1.0,8.528784648187633e-05
447,purpose,12.0,0.0004461795872838818,,
448,wind,11.0,0.00040899795501022495,,
449,terrible,11.0,0.00040899795501022495,4.0,0.0003411513859275053
450,imagine,11.0,0.00040899795501022495,3.0,0.000255863539445629
451,appearance,11.0,0.00040899795501022495,,
452,meant,11.0,0.00040899795501022495,2.0,0.00017057569296375266
453,yellow,11.0,0.00040899795501022495,1.0,8.528784648187633e-05
454,crime,11.0,0.00040899795501022495,1.0,8.528784648187633e-05
455,shadow,11.0,0.00040899795501022495,5.0,0.00042643923240938164
456,except,11.0,0.00040899795501022495,2.0,0.00017057569296375266
457,state,11.0,0.00040899795501022495,2.0,0.00017057569296375266
458,affair,11.0,0.00040899795501022495,,
459,example,11.0,0.00040899795501022495,,
460,private,11.0,0.00040899795501022495,1.0,8.528784648187633e-05
461,miles,11.0,0.00040899795501022495,,
462,plans,11.0,0.00040899795501022495,,
463,led,11.0,0.00040899795501022495,1.0,8.528784648187633e-05
464,pair,11.0,0.00040899795501022495,,
465,hold,11.0,0.00040899795501022495,5.0,0.00042643923240938164
